model,step,domain,key,partition,eval_key,measure,value
EleutherAI/pythia-160m,0,tldr17,halfA,-,halfA,dim_top10_share,0.2140884836858278
EleutherAI/pythia-160m,0,tldr17,halfA,-,halfA,dim_top100_share,0.5898888600788982
EleutherAI/pythia-160m,0,tldr17,halfA,-,halfA,dim_n_for_50pct,64.0
EleutherAI/pythia-160m,0,tldr17,halfA,-,halfA,dim_n_for_90pct,904.0
EleutherAI/pythia-160m,0,tldr17,halfA,-,halfA,dim_participation_ratio_frac,0.003685141420024856
EleutherAI/pythia-160m,0,tldr17,halfA,-,halfA,n_live_units,36864.0
EleutherAI/pythia-160m,0,tldr17,halfA,-,halfA,coupling_mean_absr,0.06700308823385732
EleutherAI/pythia-160m,0,tldr17,halfA,-,halfA,coupling_median_absr,0.05526014789938927
EleutherAI/pythia-160m,0,tldr17,halfA,-,halfA,coupling_p90_absr,0.13888852298259735
EleutherAI/pythia-160m,0,tldr17,halfA,-,halfA,coupling_p99_absr,0.23540958613157248
EleutherAI/pythia-160m,0,tldr17,halfA,-,halfA,coupling_frac_absr_gt_0.1,0.2281552864063893
EleutherAI/pythia-160m,0,tldr17,halfA,-,halfA,coupling_frac_absr_gt_0.3,0.0023226599246260553
EleutherAI/pythia-160m,0,tldr17,halfA,-,halfA,coupling_concentration_top1pct,0.03645179192786359
EleutherAI/pythia-160m,0,tldr17,halfA,-,halfA,hub_strength_gini,0.10167189317286263
EleutherAI/pythia-160m,0,tldr17,halfA,-,halfA,hub_strength_cv,0.18336990141949291
EleutherAI/pythia-160m,0,tldr17,halfB,-,halfB,dim_participation_ratio,132.70726081258775
EleutherAI/pythia-160m,0,tldr17,halfB,-,halfB,dim_top1_share,0.03586625832109574
EleutherAI/pythia-160m,0,tldr17,halfB,-,halfB,dim_top10_share,0.21756968160958587
EleutherAI/pythia-160m,0,tldr17,halfB,-,halfB,dim_top100_share,0.5906564497470306
EleutherAI/pythia-160m,0,tldr17,halfB,-,halfB,dim_n_for_50pct,63.0
EleutherAI/pythia-160m,0,tldr17,halfB,-,halfB,dim_n_for_90pct,897.0
EleutherAI/pythia-160m,0,tldr17,halfB,-,halfB,dim_participation_ratio_frac,0.0035999148440914643
EleutherAI/pythia-160m,0,tldr17,halfB,-,halfB,n_live_units,36864.0
EleutherAI/pythia-160m,0,tldr17,halfB,-,halfB,coupling_mean_absr,0.06775045026637014
EleutherAI/pythia-160m,0,tldr17,halfB,-,halfB,coupling_median_absr,0.05579199269413948
EleutherAI/pythia-160m,0,tldr17,halfB,-,halfB,coupling_p90_absr,0.14055195450782776
EleutherAI/pythia-160m,0,tldr17,halfB,-,halfB,coupling_p99_absr,0.2388312394917011
EleutherAI/pythia-160m,0,tldr17,halfB,-,halfB,coupling_frac_absr_gt_0.1,0.23305223224160987
EleutherAI/pythia-160m,0,tldr17,halfB,-,halfB,coupling_frac_absr_gt_0.3,0.0026302725955236364
EleutherAI/pythia-160m,0,tldr17,halfB,-,halfB,coupling_concentration_top1pct,0.03641137306618965
EleutherAI/pythia-160m,0,tldr17,halfB,-,halfB,hub_strength_gini,0.1038045742960072
EleutherAI/pythia-160m,0,tldr17,halfB,-,halfB,hub_strength_cv,0.18743483250276888
EleutherAI/pythia-160m,0,tldr17,halfA,real,halfA,segregation_within_mean,0.13493304664114258
EleutherAI/pythia-160m,0,tldr17,halfA,real,halfA,segregation_between_mean,0.06612328986179557
EleutherAI/pythia-160m,0,tldr17,halfA,real,halfA,segregation_ratio,2.0406281496756504
EleutherAI/pythia-160m,0,tldr17,halfA,real,halfA,segregation_modularity,0.013422670625764401
EleutherAI/pythia-160m,0,tldr17,halfA,real,halfB,segregation_within_mean,0.13724565357123672
EleutherAI/pythia-160m,0,tldr17,halfA,real,halfB,segregation_between_mean,0.06685037955927867
EleutherAI/pythia-160m,0,tldr17,halfA,real,halfB,segregation_ratio,2.0530272898381376
EleutherAI/pythia-160m,0,tldr17,halfA,real,halfB,segregation_modularity,0.013571635579085322
EleutherAI/pythia-160m,0,tldr17,halfA,null,halfA,segregation_within_mean,0.06816558074520332
EleutherAI/pythia-160m,0,tldr17,halfA,null,halfA,segregation_between_mean,0.06699070249880083
EleutherAI/pythia-160m,0,tldr17,halfA,null,halfA,segregation_ratio,1.0175379299302543
EleutherAI/pythia-160m,0,tldr17,halfA,null,halfA,segregation_modularity,0.00020922188809845903
EleutherAI/pythia-160m,0,tldr17,halfA,null,halfB,segregation_within_mean,0.06889609063018433
