step,domain,key,tree,measure,value
143000,agnews,halfB,real,selectivity_prefers_content_word,0.26
143000,agnews,halfB,real,selectivity_prefers_continuation,0.23
143000,agnews,halfB,real,selectivity_prefers_other,0.04
143000,agnews,halfB,null,selectivity_coherence_median,0.23517073547459225
143000,agnews,halfB,null,selectivity_frac_coherent,0.01
143000,agnews,halfB,null,selectivity_prefers_whitespace,0.0
143000,agnews,halfB,null,selectivity_prefers_punctuation,0.15
143000,agnews,halfB,null,selectivity_prefers_digit,0.18
143000,agnews,halfB,null,selectivity_prefers_function_word,0.08
143000,agnews,halfB,null,selectivity_prefers_content_word,0.17
143000,agnews,halfB,null,selectivity_prefers_continuation,0.35
143000,agnews,halfB,null,selectivity_prefers_other,0.07
143000,bookcorpus,halfA,real,selectivity_coherence_median,0.41206714119893273
143000,bookcorpus,halfA,real,selectivity_frac_coherent,0.33
143000,bookcorpus,halfA,real,selectivity_prefers_whitespace,0.0
143000,bookcorpus,halfA,real,selectivity_prefers_punctuation,0.16
143000,bookcorpus,halfA,real,selectivity_prefers_digit,0.05
143000,bookcorpus,halfA,real,selectivity_prefers_function_word,0.29
143000,bookcorpus,halfA,real,selectivity_prefers_content_word,0.28
143000,bookcorpus,halfA,real,selectivity_prefers_continuation,0.17
143000,bookcorpus,halfA,real,selectivity_prefers_other,0.05
143000,bookcorpus,halfA,null,selectivity_coherence_median,0.26043924515044437
143000,bookcorpus,halfA,null,selectivity_frac_coherent,0.03
143000,bookcorpus,halfA,null,selectivity_prefers_whitespace,0.01
143000,bookcorpus,halfA,null,selectivity_prefers_punctuation,0.23
143000,bookcorpus,halfA,null,selectivity_prefers_digit,0.2
143000,bookcorpus,halfA,null,selectivity_prefers_function_word,0.09
143000,bookcorpus,halfA,null,selectivity_prefers_content_word,0.29
143000,bookcorpus,halfA,null,selectivity_prefers_continuation,0.16
143000,bookcorpus,halfA,null,selectivity_prefers_other,0.02
143000,bookcorpus,halfB,real,selectivity_coherence_median,0.41940284848910825
143000,bookcorpus,halfB,real,selectivity_frac_coherent,0.34
143000,bookcorpus,halfB,real,selectivity_prefers_whitespace,0.0
143000,bookcorpus,halfB,real,selectivity_prefers_punctuation,0.15
143000,bookcorpus,halfB,real,selectivity_prefers_digit,0.05
143000,bookcorpus,halfB,real,selectivity_prefers_function_word,0.27
143000,bookcorpus,halfB,real,selectivity_prefers_content_word,0.31
143000,bookcorpus,halfB,real,selectivity_prefers_continuation,0.17
