model,domain,key,tree,network,step,best_jaccard,birth_step
pythia-70m,wikitext,halfA,real,27,4,0.0234375,143000
pythia-70m,wikitext,halfA,real,27,16,0.01775147928994083,143000
pythia-70m,wikitext,halfA,real,27,64,0.03081232492997199,143000
pythia-70m,wikitext,halfA,real,27,256,0.04608294930875576,143000
pythia-70m,wikitext,halfA,real,27,1000,0.03139013452914798,143000
pythia-70m,wikitext,halfA,real,27,4000,0.05555555555555555,143000
pythia-70m,wikitext,halfA,real,27,16000,0.14285714285714285,143000
pythia-70m,wikitext,halfA,real,27,64000,0.23170731707317074,143000
pythia-70m,wikitext,halfA,real,27,143000,1.0,143000
pythia-70m,wikitext,halfA,real,28,0,0.018633540372670808,143000
pythia-70m,wikitext,halfA,real,28,1,0.018633540372670808,143000
pythia-70m,wikitext,halfA,real,28,4,0.02040816326530612,143000
pythia-70m,wikitext,halfA,real,28,16,0.022364217252396165,143000
pythia-70m,wikitext,halfA,real,28,64,0.022653721682847898,143000
pythia-70m,wikitext,halfA,real,28,256,0.019672131147540985,143000
pythia-70m,wikitext,halfA,real,28,1000,0.03676470588235294,143000
pythia-70m,wikitext,halfA,real,28,4000,0.08870967741935484,143000
pythia-70m,wikitext,halfA,real,28,16000,0.14391143911439114,143000
pythia-70m,wikitext,halfA,real,28,64000,0.35294117647058826,143000
pythia-70m,wikitext,halfA,real,28,143000,1.0,143000
pythia-70m,wikitext,halfA,real,29,0,0.020202020202020204,143000
pythia-70m,wikitext,halfA,real,29,1,0.020202020202020204,143000
pythia-70m,wikitext,halfA,real,29,4,0.02040816326530612,143000
pythia-70m,wikitext,halfA,real,29,16,0.020202020202020204,143000
pythia-70m,wikitext,halfA,real,29,64,0.02617801047120419,143000
pythia-70m,wikitext,halfA,real,29,256,0.0392156862745098,143000
pythia-70m,wikitext,halfA,real,29,1000,0.07575757575757576,143000
pythia-70m,wikitext,halfA,real,29,4000,0.11467889908256881,143000
pythia-70m,wikitext,halfA,real,29,16000,0.2046783625730994,143000
pythia-70m,wikitext,halfA,real,29,64000,0.30128205128205127,143000
pythia-70m,wikitext,halfA,real,29,143000,1.0,143000
pythia-70m,wikitext,halfA,real,30,0,0.022935779816513763,143000
pythia-70m,wikitext,halfA,real,30,1,0.022935779816513763,143000
pythia-70m,wikitext,halfA,real,30,4,0.01652892561983471,143000
pythia-70m,wikitext,halfA,real,30,16,0.023076923076923078,143000
pythia-70m,wikitext,halfA,real,30,64,0.031914893617021274,143000
pythia-70m,wikitext,halfA,real,30,256,0.03225806451612903,143000
pythia-70m,wikitext,halfA,real,30,1000,0.03349282296650718,143000
pythia-70m,wikitext,halfA,real,30,4000,0.059907834101382486,143000
pythia-70m,wikitext,halfA,real,30,16000,0.13023255813953488,143000
pythia-70m,wikitext,halfA,real,30,64000,0.2185792349726776,143000
pythia-70m,wikitext,halfA,real,30,143000,1.0,143000
pythia-70m,wikitext,halfA,real,31,0,0.015873015873015872,143000
pythia-70m,wikitext,halfA,real,31,1,0.015873015873015872,143000
pythia-70m,wikitext,halfA,real,31,4,0.015,143000
pythia-70m,wikitext,halfA,real,31,16,0.014577259475218658,143000
pythia-70m,wikitext,halfA,real,31,64,0.019230769230769232,143000
pythia-70m,wikitext,halfA,real,31,256,0.021505376344086023,143000
pythia-70m,wikitext,halfA,real,31,1000,0.041044776119402986,143000
pythia-70m,wikitext,halfA,real,31,4000,0.10606060606060606,143000
pythia-70m,wikitext,halfA,real,31,16000,0.1377952755905512,143000
pythia-70m,wikitext,halfA,real,31,64000,0.28378378378378377,143000
pythia-70m,wikitext,halfA,real,31,143000,1.0,143000
pythia-70m,wikitext,halfA,real,32,0,0.021604938271604937,143000
pythia-70m,wikitext,halfA,real,32,1,0.021604938271604937,143000
pythia-70m,wikitext,halfA,real,32,4,0.017857142857142856,143000
pythia-70m,wikitext,halfA,real,32,16,0.018518518518518517,143000
pythia-70m,wikitext,halfA,real,32,64,0.028985507246376812,143000
pythia-70m,wikitext,halfA,real,32,256,0.022321428571428572,143000
pythia-70m,wikitext,halfA,real,32,1000,0.025362318840579712,143000
pythia-70m,wikitext,halfA,real,32,4000,0.04296875,143000
pythia-70m,wikitext,halfA,real,32,16000,0.03734439834024896,143000
pythia-70m,wikitext,halfA,real,32,64000,0.2145922746781116,143000
pythia-70m,wikitext,halfA,real,32,143000,1.0,143000
pythia-70m,wikitext,halfA,real,33,0,0.017793594306049824,143000
pythia-70m,wikitext,halfA,real,33,1,0.017793594306049824,143000
pythia-70m,wikitext,halfA,real,33,4,0.017857142857142856,143000
pythia-70m,wikitext,halfA,real,33,16,0.01680672268907563,143000
pythia-70m,wikitext,halfA,real,33,64,0.022123893805309734,143000
pythia-70m,wikitext,halfA,real,33,256,0.019762845849802372,143000
pythia-70m,wikitext,halfA,real,33,1000,0.01932367149758454,143000
pythia-70m,wikitext,halfA,real,33,4000,0.02880658436213992,143000
pythia-70m,wikitext,halfA,real,33,16000,0.03932584269662921,143000
pythia-70m,wikitext,halfA,real,33,64000,0.07042253521126761,143000
pythia-70m,wikitext,halfA,real,33,143000,1.0,143000
pythia-70m,wikitext,halfA,real,34,0,0.01694915254237288,64000
pythia-70m,wikitext,halfA,real,34,1,0.01694915254237288,64000
pythia-70m,wikitext,halfA,real,34,4,0.01694915254237288,64000
pythia-70m,wikitext,halfA,real,34,16,0.016,64000
pythia-70m,wikitext,halfA,real,34,64,0.028409090909090908,64000
pythia-70m,wikitext,halfA,real,34,256,0.03980099502487562,64000
pythia-70m,wikitext,halfA,real,34,1000,0.030927835051546393,64000
pythia-70m,wikitext,halfA,real,34,4000,0.32116788321167883,64000
pythia-70m,wikitext,halfA,real,34,16000,0.410958904109589,64000
pythia-70m,wikitext,halfA,real,34,64000,0.5575221238938053,64000
pythia-70m,wikitext,halfA,real,34,143000,1.0,64000
pythia-70m,wikitext,halfA,real,35,0,0.01680672268907563,143000
pythia-70m,wikitext,halfA,real,35,1,0.01680672268907563,143000
pythia-70m,wikitext,halfA,real,35,4,0.017341040462427744,143000
pythia-70m,wikitext,halfA,real,35,16,0.018691588785046728,143000
pythia-70m,wikitext,halfA,real,35,64,0.023880597014925373,143000
pythia-70m,wikitext,halfA,real,35,256,0.02258064516129032,143000
pythia-70m,wikitext,halfA,real,35,1000,0.025974025974025976,143000
pythia-70m,wikitext,halfA,real,35,4000,0.03734439834024896,143000
pythia-70m,wikitext,halfA,real,35,16000,0.06578947368421052,143000
pythia-70m,wikitext,halfA,real,35,64000,0.07636363636363637,143000
pythia-70m,wikitext,halfA,real,35,143000,1.0,143000
pythia-70m,wikitext,halfA,real,36,0,0.024793388429752067,143000
pythia-70m,wikitext,halfA,real,36,1,0.024793388429752067,143000
pythia-70m,wikitext,halfA,real,36,4,0.024691358024691357,143000
pythia-70m,wikitext,halfA,real,36,16,0.02092050209205021,143000
pythia-70m,wikitext,halfA,real,36,64,0.018518518518518517,143000
pythia-70m,wikitext,halfA,real,36,256,0.024271844660194174,143000
pythia-70m,wikitext,halfA,real,36,1000,0.02348993288590604,143000
pythia-70m,wikitext,halfA,real,36,4000,0.021505376344086023,143000
pythia-70m,wikitext,halfA,real,36,16000,0.05238095238095238,143000
pythia-70m,wikitext,halfA,real,36,64000,0.045454545454545456,143000
pythia-70m,wikitext,halfA,real,36,143000,1.0,143000
pythia-70m,wikitext,halfA,real,37,0,0.018518518518518517,143000
